id,category,body,subject
1,business_request,"Aaron Blackwell, can you handle the Stream Kalm compliance approval flow this week? We need the compliance approval signed by August 10.",Contract for Stream Kalm
2,business_request,"Aaron Blackwell, could you share the Project Liberty technical document pack with Oakharbor? They need the technical bundle by August 2.",Project Liberty documents
3,business_request,"Aaron Blackwell, following up on the Program Cinder budget. Can you share the updated budget numbers by February 19?",Following up on the revised numbers
4,business_request,"Aaron Blackwell, please capture the updated performance requirements for Initiative Gale in the shared doc and sort out the open questions by July 17.",Thoughts on the expectations frame
5,business_request,"Aaron Blackwell, the Stream Morrow renewal contract is nearly ready. Could you confirm the renewal amount of $82,150 and send it to Kernel Mint?",Question about the signed piece
6,business_request,"Aaron Blackwell, we need your executive approval on the Initiative Aurora budget of $31,750 by February 27. Please reply with your executive sign off.",Regarding the decision window
7,business_request,"Aaron Blackwell, we need your executive approval on the Stream Quench budget of $137,200 by May 22. Please reply with your executive sign off.",Thoughts on the top of house go
8,business_request,"Alice Nguyen, could you share the Project Prism technical document pack with Ironclad Freight? They need the technical bundle by November 30.",Thoughts on the build specifications
9,business_request,"Alice Nguyen, please capture the updated performance requirements for Stream Rival in the shared doc and shepherd through review by August 2.",Thoughts on the expectations frame
10,business_request,"Alice Nguyen, we need your executive approval on the Project Sable budget of $375,400 by early next month. Please reply with your executive sign off.",Contract for Project Sable
11,business_request,"Alice Nguyen, we need your executive approval on the Stream Morrow budget of $624,900 by July 25. Please reply with your executive sign off.",Thoughts on the decision window
12,business_request,"Beatrix Moreno, can you handle the Project Sable compliance approval flow this week? We need the compliance approval signed by December 24.",Thoughts on the sign off lane
13,business_request,"Beatrix Moreno, could you share the Initiative Citrine technical document pack with Maplecore? They need the technical bundle by March 4.",Contract for Initiative Citrine
14,business_request,"Beatrix Moreno, could you share the Program Jade technical document pack with Quicksilver Media? They need the technical bundle by April 20.",Thoughts on the architecture pages
15,business_request,"Beatrix Moreno, following up on the Program Brio budget. Can you share the updated budget numbers by August 10?",Following up on the money figures
16,business_request,"Beatrix Moreno, following up on the Project Nimbus budget. Can you share the updated budget numbers by March 21?",Budget for Project Nimbus
17,business_request,"Beatrix Moreno, following up on the Stream Nectar budget. Can you share the updated budget numbers by April 12?",Following up on the spending side
18,business_request,"Beatrix Moreno, please capture the updated performance requirements for Initiative Ivory in the shared doc and surface the risks by May 14.",Follow up on Initiative Ivory
19,business_request,"Beatrix Moreno, please capture the updated performance requirements for Program Glint in the shared doc and take a first pass by April 12.",On the response expectations
20,business_request,"Beatrix Moreno, please capture the updated performance requirements for Project Sable in the shared doc and hand off to the owner by April 20.",Regarding the response expectations
21,business_request,"Beatrix Moreno, please capture the updated performance requirements for Stream Origami in the shared doc and walk through on a call by November 14.",Follow up on Stream Origami
22,business_request,"Beatrix Moreno, the Program Cinder renewal contract is nearly ready. Could you confirm the renewal amount of $261,200 and send it to Evercrest?",Budget for Program Cinder
23,business_request,"Beatrix Moreno, we still need the signed Initiative Everest financial document. Can you forward the finance document to Kettlewood by April 5?",Regarding the ledger annotations
24,business_request,"Brandon Lee, we need your executive approval on the Initiative Citrine budget of $204,600 by August 10. Please reply with your executive sign off.",Initiative Citrine documents
25,business_request,"Brandon Lee, we need your executive approval on the Program Ensign budget of $541,200 by July 1. Please reply with your executive sign off.",Follow up on Program Ensign
26,business_request,"Brandon Lee, we need your executive approval on the Project Umbra budget of $646,700 by July 9. Please reply with your executive sign off.",Quick note: the green light
27,business_request,"Brandon Lee, we still need the signed Initiative Ivory financial document. Can you forward the finance document to Ironvale by July 25?",Following up on the ledger annotations
28,business_request,"Brandon Lee, we still need the signed Project Quartz financial document. Can you forward the finance document to Quillwork by the following Wednesday?",Thoughts on the ledger annotations
29,business_request,"Brandon Lee, we still need the signed Stream Kalm financial document. Can you forward the finance document to Juniper Hub by November 30?",Stream Kalm documents
30,business_request,"Brandon Lee, we still need the signed Stream Kalm financial document. Can you forward the finance document to Larkspur Supply by May 22?",Quick note: the reference dossier
31,business_request,"Carla Simmons, could you share the Project Harbor technical document pack with Xanthe Dynamics? They need the technical bundle by the end of this quarter.",Thoughts on the implementation set
32,business_request,"Carla Simmons, could you share the Project Willow technical document pack with Umbracore? They need the technical bundle by October 13.",Contract for Project Willow
33,business_request,"Carla Simmons, please capture the updated performance requirements for Program Fable in the shared doc and hand off to the owner by November 14.",Program Fable approval
34,business_request,"Carla Simmons, we need your executive approval on the Initiative Basalt budget of $716,500 by October 29. Please reply with your executive sign off.",Budget for Initiative Basalt
35,business_request,"Carla Simmons, we need your executive approval on the Initiative Lumen budget of $31,750 by September 27. Please reply with your executive sign off.",Follow up on Initiative Lumen
36,business_request,"Carla Simmons, we still need the signed Project Orchid financial document. Can you forward the finance document to Quillwork by February 11?",Following up on the money notes
37,business_request,"Carla Simmons, we still need the signed Stream Quench financial document. Can you forward the finance document to Redpine by June 7?",Following up on the money sheet
38,business_request,"Chase Arellano, can you handle the Stream Nectar compliance approval flow this week? We need the compliance approval signed by April 28.",On the final call
39,business_request,"Chase Arellano, following up on the Initiative Ivory budget. Can you share the updated budget numbers by May 6?",Budget for Initiative Ivory
40,business_request,"Chase Arellano, following up on the Initiative Ivory budget. Can you share the updated budget numbers by October 21?",On the cycle outlook summary
41,business_request,"Chase Arellano, following up on the Program Halyard budget. Can you share the updated budget numbers by October 5?",About the spending side
42,business_request,"Chase Arellano, following up on the Project Sable budget. Can you share the updated budget numbers by April 5?",Follow up on Project Sable
43,business_request,"Chase Arellano, please capture the updated performance requirements for Initiative Citrine in the shared doc and spin up a quick doc by July 1.",Quick note: the speed targets
44,business_request,"Chase Arellano, the Project Ember renewal contract is nearly ready. Could you confirm the renewal amount of $24,000 and send it to Tidewater Partners?",Budget for Project Ember
45,business_request,"Chase Arellano, we still need the signed Initiative Fathom financial document. Can you forward the finance document to Featherstone by February 27?",Question about the reference set
46,business_request,"Chase Arellano, we still need the signed Project Thistle financial document. Can you forward the finance document to Upland Foods by September 3?",Quick note: the money notes
47,business_request,"Derek Park, can you handle the Initiative Gale compliance approval flow this week? We need the compliance approval signed by November 6.",About the go ahead
48,business_request,"Derek Park, could you share the Project Sable technical document pack with Deepfield? They need the technical bundle by the end of this quarter.",Project Sable approval
49,business_request,"Derek Park, please capture the updated performance requirements for Project Moonstone in the shared doc and line up a demo by January 8.",Thoughts on the load targets
50,business_request,"Derek Park, please capture the updated performance requirements for Project Thistle in the shared doc and walk through on a call by December 24.",Contract for Project Thistle
51,business_request,"Derek Park, the Initiative Basalt renewal contract is nearly ready. Could you confirm the renewal amount of $446,200 and send it to Coastside Biotech?",Initiative Basalt documents
52,business_request,"Derek Park, the Initiative Gale renewal contract is nearly ready. Could you confirm the renewal amount of $341,200 and send it to Maplecore?",Follow up on Initiative Gale
53,business_request,"Derek Park, the Program Ingot renewal contract is nearly ready. Could you confirm the renewal amount of $292,300 and send it to Orbitron?",Follow up on Program Ingot
54,business_request,"Derek Park, we still need the signed Initiative Everest financial document. Can you forward the finance document to Juno Rail by February 2?",Quick note: the reference set
55,business_request,"Dorothy Keane, could you share the Project Ember technical document pack with Yarrow Energy? They need the technical bundle by September 11.",Project Ember documents
