id,image_id,question,label
0,0.png,$m \widehat{G H}=78$ Find $m\angle 2$,51
1,1.png,"$m∠9 = 2x - 4$, $m∠10 = 2x + 4$. Find the measure of $∠9$.",86
2,2.png,Triangle $WXY$ has an area of 248 square inches. Find the length of the base.,31
3,3.png,Find x,6
4,4.png,$\overline{PM}$ is a diameter of $\odot R$. Find $m \widehat {MNQ}$.,295
5,5.png,Express the ratio of $\cos A$ as a decimal to the nearest hundredth.,0.92
6,6.png,Find y in the figure.,45
7,7.png,"In $\odot X, A B=30, C D=30,$ and $m \widehat{C Z}=40$
Find CN",15
8,8.png,Find $m \angle 1$.,66
9,9.png,Find the area of the rhombus.,90
10,10.png,Find x,3.6
11,11.png,Find $x$ so that the quadrilateral is a parallelogram.,30
12,12.png,Find $m\angle Z$ in the trapezoid,68
13,13.png,"For isosceles trapezoid $A B C D$, $X$ and $Y$ are midpoints of the legs. Find $m \angle X B C$ if $m \angle A D Y=78$",102
14,14.png,Each pair of polygons is similar. Find y,48.45
15,15.png,Find z.,\frac { 85 } { 6 } \sqrt { 13 }
16,16.png,Find the value  of $x$ in each diagram,93
17,17.png,Find the measure of $\angle R$,122
18,18.png,Find $x$ so that the quadrilateral is a parallelogram.,2
19,19.png,The radius of $\odot P$ is 5 and $P R=3$. Find QR,4
20,20.png,Find the scale factor from $W$ to $W'$.,0.6
21,21.png,"Polygon ABCD ~ polygon AEFG, $m\angle AGF = 108$, GF = 14, AD = 12, DG = 4.5, EF = 8, and AB = 26.
Find the perimeter of trapezoid ABCD",73.2
22,22.png,Use parallelogram to  find $a$,2
23,23.png,Find $y$ so that the quadrilateral is a parallelogram,15.5
24,24.png,Find x.,12
25,25.png,Find $m \angle A$.,81
26,26.png,"Polygon ABCD ~ polygon AEFG, $m\angle AGF = 108$, GF = 14, AD = 12, DG = 4.5, EF = 8, and AB = 26.
Find the perimeter of trapezoid AEFG",45.75
27,27.png,Find x in the parallelogram,7
28,28.png,Find $x$ so that the quadrilateral is a parallelogram,2
29,29.png,Find the circumference of the figure. Round to the nearest tenth.,36.4
30,30.png,Find x.,2 \sqrt { 10 }
31,31.png,Chords $\overline{A C}$ and $\overline{D F}$ are equidistant from the center. If the radius of $\odot G$ is 26 find $D E$,24
32,32.png,Find x.,2 \sqrt { 10 }
33,33.png,Each pair of polygons is similar. Find x,10
34,34.png,Find $DB$.,5
35,35.png,"If $m \widehat{B C}=30$ and $\overline{A B} \cong \widehat{C D},$ find $m \widehat{A B}$",75
36,36.png,Find y.,10 \sqrt { 3 }
37,37.png,"parallelogram MNPQ with $m \angle M=10 x$ and $m \angle N=20 x$, find $\angle Q$",120
38,38.png,Use parallelogram JKLM to find $a$ if $J K=2 b+3$ and $J M=3 a$.,7
39,39.png,Find the area of the figure. Round to the nearest tenth if necessary.,164.3
40,40.png,Find the perimeter of parallelogram ABCD to the nearest tenth.,34.6
41,41.png,Express the ratio of $\sin A$ as a decimal to the nearest hundredth.,0.38
42,42.png,Find $m\angle D$,101
43,43.png,Find $x$ so that $ m \parallel n $.,15
44,44.png,Find the perimeter of the parallelogram. Round to the nearest tenth if necessary.,46
45,45.png,Find z.,8 \sqrt { 5 }
46,46.png,"In the figure, $m∠11 = 62$ and $m∠14 = 38$. Find the measure of $\angle 6$.",38
47,47.png,"In $\odot X, A B=30, C D=30,$ and $m \widehat{C Z}=40$
Find $m\widehat{Y B}$",40
48,48.png,"Use rhombus XYZW with $m \angle W Y Z=53, V W=3$, $X V=2 a-2,$ and $Z V=\frac{5 a+1}{4}$
 Find  $m \angle Y Z V$",37
49,49.png,Find $\sin x$,\frac { 2 \sqrt { 2 } } { 5 }
50,50.png,The two polygons are similar. Find x.,13.5
51,51.png,Find $x$.,3
52,52.png,Find x,20
53,53.png,What is the area of the triangle below? Round your answer to the nearest tenth if necessary.,171.9
